"","start_station_name","casual","member","lat","lng","member_greater"
"1","2112 W Peterson Ave",429,601,41.9911735830437,-87.6835913535783,"green"
"2","351",2,NA,41.93,-87.78,NA
"3","63rd St Beach",1487,630,41.7809572870349,-87.5762473616826,"red"
"4","900 W Harrison St",2702,6175,41.8747525200432,-87.6498064060018,"green"
"5","Aberdeen St & Jackson Blvd",3765,8455,41.8777377888528,-87.6548093212208,"green"
"6","Aberdeen St & Monroe St",4039,7344,41.8804152867738,-87.6555460171043,"green"
"7","Aberdeen St & Randolph St",4114,6343,41.8841188514048,-87.6542710162783,"green"
"8","Ada St & 113th St",73,57,41.687567595568,-87.6554011047355,"red"
"9","Ada St & Washington Blvd",3197,6068,41.8828351757252,-87.6612043282659,"green"
"10","Adler Planetarium",10090,5413,41.8661009885966,-87.6072784850547,"red"
"11","Albany Ave & 26th St",185,137,41.8444893857336,-87.7020263455592,"red"
"12","Albany Ave & Belmont Ave",28,80,41.94,-87.71,"green"
"13","Albany Ave & Bloomingdale Ave",2532,2767,41.9140086266546,-87.7051461694764,"green"
"14","Albany Ave & Montrose Ave",891,1329,41.9610323849248,-87.7058576466742,"green"
"15","Altgeld Gardens",108,7,41.6569015137096,-87.5988243803711,"red"
"16","Archer (Damen) Ave & 37th St",324,226,41.8267153553976,-87.683148487743,"red"
"17","Archer Ave & 43rd St",25,16,41.82,-87.7,"red"
"18","Artesian Ave & 55th St",36,5,41.79,-87.69,"red"
"19","Artesian Ave & Hubbard St",826,2149,41.8895055379877,-87.6882083479148,"green"
"20","Ashland Ave & 13th St",661,2187,41.8652423825118,-87.6665093139102,"green"
"21","Ashland Ave & 50th St",138,32,41.8030189647059,-87.6646942382353,"red"
"22","Ashland Ave & 63rd St",144,74,41.7793723211009,-87.6648947905199,"red"
"23","Ashland Ave & 66th St",88,47,41.7740850641975,-87.6637799876543,"red"
"24","Ashland Ave & 74th St",132,36,41.7592032800249,-87.6634832796825,"red"
"25","Ashland Ave & 78th St",127,51,41.7522301708096,-87.6637829821034,"red"
"26","Ashland Ave & Archer Ave",547,626,41.8391735281232,-87.6656201731292,"green"
"27","Ashland Ave & Augusta Blvd",2780,5685,41.8996371254275,-87.6679178602096,"green"
"28","Ashland Ave & Belle Plaine Ave",1564,1725,41.9560642901051,-87.6688485024806,"green"
"29","Ashland Ave & Blackhawk St",5168,6235,41.907062755675,-87.6672470389833,"green"
